"id","age","dietaryRestrictions","email","firstName","lastName","likesCheese","phoneNumber"
"817180cc-1891-407a-a51f-41c4647e8466","41","Vegetarian","diana.garcia@test.org","Diana","Garcia","true","+1 (555) 880-9101"
"c1d1d0ea-1891-438a-809c-d4fb847fbdb5","59","None","hector.garcia@test.org","Hector","Garcia","false","+1 (555) 402-1775"
"7ad266b3-865a-4084-ba39-65de4a1a8452","29","Keto","bob.garcia@test.org","Bob","Garcia","true","+1 (555) 760-2391"
"3855c13f-61e2-4492-8c33-0147224d8b9d","60","Pescatarian","grace.martinez@example.com","Grace","Martinez","true","+1 (555) 727-1163"
"b9575219-d07e-45af-a574-f4a1a83e1ed0","50","Keto","alice.martinez@example.com","Alice","Martinez","false","+1 (555) 110-8767"
"841e662f-ff06-47aa-959e-262b1f92777e","34","None","eve.williams@test.org","Eve","Williams","true","+1 (555) 369-8872"
"54957d73-7399-4732-aebd-0b454d5b66d4","30","Keto","grace.brown@mail.com","Grace","Brown","false","+1 (555) 964-1236"
"d94214c7-67a7-493b-b7bd-3b20ed5501db","48","Keto","grace.jones@mail.com","Grace","Jones","true","+1 (555) 214-6100"
"bade48f9-5951-4143-ba44-228dab026ae3","52","Keto","charlie.davis@test.org","Charlie","Davis","true","+1 (555) 862-7672"
"100a74b6-6965-491f-a487-9e68c8e0f156","77","Keto","bob.garcia@example.com","Bob","Garcia","true","+1 (555) 869-3536"
"0dafeedc-a696-4c7b-9ef8-c3ce4330ee6e","66","Pescatarian","eve.garcia@test.org","Eve","Garcia","true","+1 (555) 300-4358"
"7ae63bef-7ebd-452f-a002-5a94b2c9416f","63","Vegan","jack.miller@mail.com","Jack","Miller","true","+1 (555) 228-7980"
"7b9d1c1d-cb68-4a54-af3a-7a9e40786b44","63","Keto","diana.jones@example.com","Diana","Jones","true","+1 (555) 734-4990"
"5d6e7d21-ab4d-49d6-ac14-b4bba67870ce","59","Vegan","eve.garcia@example.com","Eve","Garcia","false","+1 (555) 984-6613"
"ea28ac81-cd3a-47f2-bc0d-c7171e4e0334","80","Pescatarian","frank.miller@example.com","Frank","Miller","true","+1 (555) 594-1589"
"f6fb7254-7c08-4ce5-b4aa-b29591f8505e","78","Vegetarian","charlie.jones@test.org","Charlie","Jones","true","+1 (555) 997-5741"
"ff662da7-d12d-4468-9b08-a873f8e2f184","62","Paleo","grace.davis@mail.com","Grace","Davis","false","+1 (555) 152-8651"
"ad99cdb1-3711-4e26-9c27-74cbfd7d8f12","59","None","charlie.brown@mail.com","Charlie","Brown","true","+1 (555) 234-7970"
"cd2dae29-7541-432b-bbad-2f6e34d491e4","67","Vegan","diana.johnson@mail.com","Diana","Johnson","false","+1 (555) 288-5755"
"a96ca038-9de6-414d-98dc-2d6df0628255","23","None","hector.johnson@example.com","Hector","Johnson","false","+1 (555) 502-7633"
"623121e0-f74f-445d-a4e4-9b6cc38abe37","50","Vegetarian","bob.jones@mail.com","Bob","Jones","false","+1 (555) 748-3006"
"bfea828d-64fc-41cc-bf74-772085eb3420","61","Paleo","hector.martinez@mail.com","Hector","Martinez","true","+1 (555) 514-4376"
"431e31ef-74a7-4177-ab09-1be4b096a8fa","66","Vegetarian","jack.smith@test.org","Jack","Smith","true","+1 (555) 282-9992"
"9f9ca0ed-faae-4bb0-9cb2-836d64d6ce20","71","None","diana.davis@mail.com","Diana","Davis","true","+1 (555) 667-8326"
"d1bb8b2e-c9f0-44f1-ab5a-24c974641b41","67","Vegan","bob.garcia@example.com","Bob","Garcia","false","+1 (555) 220-1626"
"dec90071-cb88-48ab-8c69-f16203a41ad8","43","Keto","bob.brown@example.com","Bob","Brown","true","+1 (555) 264-6847"
"c3f5288e-355b-4b76-8181-957ad5fd456d","56","Pescatarian","eve.jones@mail.com","Eve","Jones","true","+1 (555) 589-3511"
"ea9e9133-0165-4c19-a955-29028e3049d6","55","None","hector.rodriguez@example.com","Hector","Rodriguez","true","+1 (555) 116-4922"
"d353e9cf-2fa9-44eb-bd24-b502bc78f52c","20","Pescatarian","jack.davis@mail.com","Jack","Davis","true","+1 (555) 148-6746"
"0e631548-1f33-451b-95ce-0e20e17c70bb","26","Pescatarian","grace.johnson@mail.com","Grace","Johnson","true","+1 (555) 473-7889"
"80db9f05-1fe1-4d2c-85fa-d50b50fb820c","47","Vegetarian","ivy.garcia@example.com","Ivy","Garcia","false","+1 (555) 178-9748"
